X Intensity	Record 193: fibrinogeno PBS pH 7.4 37C 10µM 1	Record 194: fibrinogeno PBS pH 7.4 37C 10µM 2	Record 195: fibrinogeno PBS pH 7.4 37C 10µM 3	Record 196: fibrinogeno PBS pH 7.4 37C 10µM 4	
0,4	0	0	0	0	
0,463	0	0	0	0	
0,536	0	0	0	0	
0,621	0	0	0	0	
0,719	0	0	0	0	
0,833	0	0	0	0	
0,965	0	0	0	0	
1,12	0	0	0	0	
1,29	0	0	0	0	
1,5	0	0	0	0	
1,74	0	0	0	0	
2,01	0	0	0	0	
2,33	0	0	0	0	
2,7	0	0	0	0	
3,12	0	0	0	0	
3,62	0	0	0	0	
4,19	0	0	0	0	
4,85	0	0	0	0	
5,61	0	0	0	0	
6,5	0	0	0	0	
7,53	0	0	0	0	
8,72	0	0	0	0	
10,1	0	0	0	0	
11,7	0	0,642	0,898	0,868	
13,5	1,25	2,42	2,71	2,71	
15,7	3,74	4,92	4,97	5,12	
18,2	6,79	7,39	7,13	7,52	
21	9,56	9,23	8,74	9,36	
24,4	11,4	10,1	9,55	10,3	
28,2	12	9,92	9,49	10,3	
32,7	11,2	8,92	8,68	9,31	
37,8	9,47	7,42	7,34	7,7	
43,8	7,11	5,73	5,73	5,77	
50,7	4,65	4,14	4,1	3,85	
58,8	2,51	2,81	2,65	2,2	
68,1	0,992	1,8	1,52	0,991	
78,8	0,2	1,11	0,755	0,277	
91,3	0	0,677	0,362	0	
106	0	0,443	0,28	0	
122	0,276	0,354	0,422	0,199	
142	0,922	0,383	0,689	0,542	
164	1,83	0,518	0,988	0,952	
190	2,74	0,753	1,25	1,35	
220	3,38	1,07	1,42	1,67	
255	3,51	1,45	1,49	1,86	
295	3,05	1,82	1,45	1,91	
342	2,12	2,12	1,32	1,82	
396	1,06	2,28	1,13	1,61	
459	0,262	2,25	0,913	1,32	
531	0	2,01	0,695	0,995	
615	0	1,6	0,499	0,671	
712	0	1,08	0,339	0,391	
825	0	0,576	0,226	0,181	
955	0	0,192	0,165	0,0532	
1,11e+003	0	0,00557	0,156	0,00152	
1,28e+003	0	0	0,2	0	
1,48e+003	0	0	0,295	0,00134	
1,72e+003	0	0	0,44	0,051	
1,99e+003	0	0	0,629	0,173	
2,3e+003	0	0	0,855	0,373	
2,67e+003	0	0	1,1	0,637	
3,09e+003	0	0	1,36	0,937	
3,58e+003	0	0,0118	1,59	1,24	
4,15e+003	0	0,412	1,77	1,49	
4,8e+003	0	1,23	1,87	1,64	
5,56e+003	0	2,24	1,83	1,66	
6,44e+003	0	0	0	0	
7,46e+003	0	0	0	0	
8,63e+003	0	0	0	0	
